#{"t_start": 1726061253.6615877, "env_id": "DRL_RBMSA-v4"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
965.4,1000,49380.838953,0.01,0.02226432970156324
978.2,1000,49384.517341,0.002,0.0046882325363338025
976.5,1000,49388.46373,0.004,0.00940733772342427
949.4,1000,49392.234977,0.017,0.03573947801551846
976.7,1000,49396.212965,0.004,0.009775171065493646
969.3,1000,49400.265703,0.004,0.009652509652509652
972.7,1000,49403.932744,0.005,0.011750881316098707
977.1,1000,49407.946813,0.0,0.0
956.6,1000,49412.023633,0.012,0.026937618147448016
951.4,1000,49415.763409,0.017,0.03493246390312063
986.2,1000,49419.86618,0.001,0.0024473813020068525
979.9,1000,49423.632909,0.002,0.004770992366412214
973.1,1000,49427.682719,0.006,0.012971414845063657
960.5,1000,49431.76368,0.009,0.017989925641640682
975.9,1000,49435.506647,0.002,0.004704775346977182
959.8,1000,49439.499245,0.013,0.02979970688812897
968.1,1000,49443.229541,0.006,0.011992619926199263
955.5,1000,49447.034209,0.01,0.023820867079561697
966.0,1000,49450.664291,0.004,0.008220502901353965
982.9,1000,49454.699674,0.001,0.002355712603062426
973.2,1000,49458.715761,0.005,0.011386927806877705
955.3,1000,49462.580647,0.013,0.026211092908963257
968.0,1000,49466.580347,0.007,0.015227218653342851
977.8,1000,49470.596189,0.003,0.006888633754305396
968.6,1000,49474.18284,0.006,0.012037037037037037
979.2,1000,49478.117197,0.0,0.0
981.4,1000,49481.947568,0.0,0.0
971.2,1000,49485.966666,0.006,0.012593283582089552
981.9,1000,49490.12997,0.001,0.0023747328425552127
963.2,1000,49493.830684,0.01,0.020292590844738084
976.1,1000,49497.663819,0.001,0.0023452157598499064
939.9,1000,49501.628893,0.02,0.04348876540227108
956.4,1000,49505.266141,0.014,0.029983602717263996
957.0,1000,49509.278655,0.013,0.026272577996715927
947.2,1000,49513.080716,0.019,0.039613081529249194
962.3,1000,49516.926645,0.012,0.026754283032152076
977.0,1000,49520.895339,0.003,0.006855575868372943
973.3,1000,49524.630527,0.004,0.00927213722763097
952.0,1000,49528.600884,0.016,0.03658838071693449
980.8,1000,49532.445302,0.001,0.0024096385542168677
978.3,1000,49536.49036,0.002,0.0046959380136182205
975.5,1000,49540.230943,0.004,0.009535160905840286
959.2,1000,49544.079884,0.012,0.02588686481303931
938.1,1000,49548.039787,0.024,0.04993191103041307
973.6,1000,49551.679172,0.006,0.012628624883068288
980.8,1000,49555.420559,0.003,0.005016722408026756
945.6,1000,49559.31566,0.022,0.0449195291856834
985.4,1000,49563.162063,0.0,0.0
964.7,1000,49567.067108,0.011,0.026041666666666668
982.3,1000,49570.716009,0.003,0.006594856012310398
943.0,1000,49574.414862,0.023,0.05045651129264776
937.0,1000,49578.249078,0.025,0.05014464802314368
966.0,1000,49581.984308,0.01,0.021993448759943846
944.8,1000,49585.797724,0.019,0.04284103720405862
950.3,1000,49589.864678,0.019,0.04355029585798816
959.6,1000,49593.568036,0.012,0.027436823104693142
957.1,1000,49597.549328,0.015,0.036585365853658534
970.1,1000,49601.431859,0.008,0.017193308550185873
983.0,1000,49605.156573,0.0,0.0
975.3,1000,49609.448009,0.004,0.009937888198757764
955.9,1000,49613.151193,0.013,0.028803716608594657
951.5,1000,49617.055858,0.015,0.031781226903178125
986.5,1000,49620.830547,0.0,0.0
981.5,1000,49624.452528,0.0,0.0
950.7,1000,49628.449682,0.019,0.04095720202485044
961.5,1000,49632.157719,0.012,0.02724014336917563
957.5,1000,49635.933055,0.016,0.03610785463071512
962.8,1000,49639.933819,0.012,0.026817219477769938
968.0,1000,49643.83142,0.01,0.020364669666114138
930.3,1000,49647.714307,0.029,0.06542715933160743
966.5,1000,49651.547681,0.007,0.015984015984015984
964.4,1000,49655.297479,0.011,0.025718961889174656
958.7,1000,49659.364198,0.013,0.02626892252894034
934.1,1000,49663.205972,0.025,0.056538839724680434
966.2,1000,49667.122765,0.009,0.019709056780854058
969.7,1000,49671.064095,0.006,0.011188811188811189
967.8,1000,49674.899774,0.008,0.016509974776427426
954.6,1000,49678.883124,0.015,0.03344170924291686
960.3,1000,49682.515635,0.013,0.0277060342803475
959.3,1000,49686.664353,0.013,0.02328344024708957
979.3,1000,49690.647299,0.001,0.002470966147763776
963.9,1000,49694.38732,0.009,0.01957507758414896
977.3,1000,49698.5694,0.001,0.0024108003857280617
982.1,1000,49702.523137,0.001,0.002329916123019571
965.5,1000,49706.666893,0.008,0.0186219739292365
965.7,1000,49710.967935,0.009,0.021988761299780113
984.1,1000,49715.229482,0.0,0.0
979.8,1000,49719.363492,0.002,0.004765308553728854
949.8,1000,49723.265076,0.017,0.03473709255293838
967.9,1000,49727.350085,0.009,0.018435358071377923
972.2,1000,49731.2477,0.007,0.016814797021378815
964.5,1000,49734.901071,0.01,0.020276497695852536
961.8,1000,49738.820577,0.01,0.016213638531235097
963.9,1000,49742.424578,0.009,0.02107234839616015
970.5,1000,49746.133226,0.006,0.013701758392327016
959.3,1000,49750.165298,0.014,0.03133037175590367
985.2,1000,49754.049372,0.0,0.0
984.0,1000,49758.483186,0.001,0.0004716981132075472
972.0,1000,49762.748595,0.007,0.015410546592824464
947.4,1000,49767.135416,0.02,0.045348293595137916
978.1,1000,49771.218198,0.005,0.010022779043280182
975.1,1000,49775.364856,0.005,0.01245640259093174
974.8,1000,49779.618071,0.005,0.010406811731315043
944.0,1000,49783.500216,0.021,0.037778277490443
929.3,1000,49787.851591,0.03,0.060883874000940294
957.5,1000,49791.650025,0.015,0.02903301334582065
981.4,1000,49795.468243,0.0,0.0
959.4,1000,49799.547729,0.014,0.03270685867708079
966.9,1000,49803.365131,0.009,0.020320614134116052
956.5,1000,49807.266783,0.015,0.02954971857410882
982.8,1000,49811.133587,0.0,0.0
982.6,1000,49815.101558,0.003,0.007283321194464676
940.8,1000,49819.265404,0.023,0.04957904583723106
987.7,1000,49823.364379,0.0,0.0
988.9,1000,49827.681587,0.0,0.0
979.3,1000,49831.965273,0.001,0.002271694684234439
971.3,1000,49835.931335,0.006,0.014147606696533836
947.7,1000,49839.81721,0.021,0.044186046511627906
948.2,1000,49843.367564,0.02,0.041810245807489085
976.6,1000,49847.348451,0.006,0.014695077149155033
954.4,1000,49851.18996,0.013,0.025328554360812425
982.5,1000,49855.167065,0.001,0.0024195499637067507
974.1,1000,49859.064699,0.006,0.011541235874008175
978.8,1000,49862.715173,0.004,0.009657170449058426
973.8,1000,49866.482626,0.006,0.012934131736526947
982.2,1000,49870.464972,0.0,0.0
974.0,1000,49874.318249,0.003,0.006997900629811057
962.0,1000,49878.207632,0.012,0.02789400278940028
975.6,1000,49881.915331,0.005,0.005929304446978335
973.0,1000,49885.631473,0.005,0.010302036993678295
975.2,1000,49889.617177,0.005,0.011674060238150829
974.1,1000,49893.499723,0.007,0.01705653021442495
977.1,1000,49897.483856,0.005,0.011674060238150829
978.1,1000,49901.390211,0.004,0.00963623223319682
980.3,1000,49905.282577,0.003,0.007361963190184049
971.6,1000,49909.698528,0.008,0.01764846172191748
973.1,1000,49913.448657,0.006,0.014278914802475012
972.6,1000,49917.346391,0.005,0.010294805802526907
949.5,1000,49921.20706,0.018,0.039780521262002745
980.2,1000,49924.997355,0.003,0.006813536225300931
934.9,1000,49929.117004,0.025,0.05365269461077844
975.6,1000,49932.908389,0.003,0.005432322317790856
967.1,1000,49936.934571,0.008,0.01889466225791214
979.3,1000,49940.84866,0.002,0.004539264639128461
951.0,1000,49944.816174,0.018,0.03884927464961888
951.2,1000,49948.815077,0.017,0.03832420852178053
975.9,1000,49952.584066,0.004,0.009394081728511038
986.6,1000,49956.518309,0.0,0.0
979.0,1000,49960.614307,0.003,0.007195970256656272
953.6,1000,49964.285114,0.017,0.03394433129667346
958.2,1000,49968.184436,0.014,0.027632205812291567
932.2,1000,49972.074776,0.027,0.047807835820895525
945.2,1000,49975.998503,0.02,0.042432814710042434
953.1,1000,49980.014926,0.016,0.03651616086849247
957.5,1000,49983.9649,0.015,0.029466791393826006
977.7,1000,49988.007739,0.004,0.009643201542912247
948.0,1000,49992.131601,0.018,0.03418593212001968
957.8,1000,49995.865389,0.014,0.032172869147659065
963.2,1000,50000.067657,0.009,0.018437651625424552
951.2,1000,50004.124671,0.019,0.04259534422981674
974.3,1000,50008.266135,0.007,0.016766467065868262
969.8,1000,50012.264823,0.007,0.016662699357295883
983.9,1000,50016.341541,0.001,0.002376990729736154
967.0,1000,50020.413651,0.01,0.02340276152586005
954.6,1000,50024.399847,0.015,0.03136882129277566
972.7,1000,50028.48633,0.005,0.011811953697141508
978.6,1000,50032.519052,0.003,0.007251631617113851
979.9,1000,50036.282112,0.003,0.005809731299927378
949.6,1000,50040.334123,0.017,0.03675273319376599
974.6,1000,50044.24746,0.005,0.007774538386783284
978.4,1000,50048.065065,0.004,0.005629362756136005
980.1,1000,50051.825305,0.002,0.004721435316336166
981.2,1000,50055.648758,0.001,0.0023073373327180432
964.8,1000,50059.858666,0.009,0.019676739283204497
989.0,1000,50063.81555,0.0,0.0
981.0,1000,50067.740604,0.001,0.0023596035865974517
975.7,1000,50071.714974,0.0,0.0
973.3,1000,50075.490341,0.007,0.01092896174863388
974.4,1000,50079.702149,0.003,0.007649158592554819
977.4,1000,50083.749408,0.002,0.004561003420752566
980.3,1000,50087.548087,0.0,0.0
981.4,1000,50091.631672,0.0,0.0
977.3,1000,50095.465664,0.002,0.004596644449551827
974.3,1000,50099.60112,0.004,0.009442870632672332
983.4,1000,50103.482266,0.001,0.002353494939985879
981.0,1000,50107.568683,0.002,0.004511617414843221
973.4,1000,50111.431984,0.007,0.013679245283018868
905.5,1000,50115.35196,0.04,0.07679544915856838
960.6,1000,50119.24718,0.011,0.024384837064952338
980.4,1000,50123.148282,0.001,0.0024931438544003987
946.1,1000,50126.899887,0.02,0.03876326718966313
964.2,1000,50130.998226,0.01,0.01970217640320733
975.6,1000,50134.796987,0.006,0.01444043321299639
965.8,1000,50138.808865,0.009,0.019395058877857307
